,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Mrg Ebitd
0,PETR3,22.76,-8.73,1.22,10.76,0.0192,0.292,5.14,3.47,-0.52,8.04,4.57,0.3096,-0.1274,1.4,0.0966,-0.14,340388000.0,242766000000.0,2.06,-0.0008,0.3096
1,PETR4,22.22,-8.53,1.19,10.5,0.0279,0.286,5.02,3.39,-0.51,7.96,4.52,0.3096,-0.1274,1.4,0.0966,-0.14,1323950000.0,242766000000.0,2.06,-0.0008,0.3096
2,RPMG3,3.03,-1.39,-0.07,3.92,0.0,0.077,-0.08,-3.72,-0.07,-3.72,-3.72,-0.1054,-0.2811,0.49,-0.021,0.0512,357132.0,-2875230000.0,0.0,-0.0256,-0.1054
3,DMMO3,1.27,-0.49,-0.32,9.56,0.0,0.284,-0.69,-3.38,-0.17,-8.97,-22.91,-0.2831,-1.9413,0.29,-0.1201,0.6595,6088180.0,-1055770000.0,-0.61,0.0336,-0.2831
4,OSXB3,4.4,-0.03,0.0,12.89,0.0,0.007,-0.03,-1.32,0.0,-422.84,-426.67,-0.9747,-49.0786,0.03,-0.0059,0.1083,57102.3,-4737600000.0,-0.93,-0.4868,-0.9747
5,ENAT3,12.17,9.28,1.11,25.78,0.09390000000000001,0.702,2.33,10.17,14.02,5.88,2.15,0.2535,0.2779,3.55,0.1103,0.1198,20092700.0,2910700000.0,0.08,0.2898,0.2535
6,PRIO3,43.83,13.45,2.46,42.49,0.0,0.952,158.38,36.07,-2.37,50.2,9.03,0.1178,0.3158,1.03,0.0285,0.1827,135153000.0,2580170000.0,1.1,0.5108,0.1178
7,BRDT3,21.73,13.65,2.58,2.99,0.0444,0.915,3.22,23.33,-6.47,26.94,17.94,0.0128,0.0219,2.29,0.0515,0.1889,148971000.0,9813000000.0,0.94,-0.0367,0.0128
8,MMXM3,1.75,-0.06,-0.01,223.07,0.0,0.091,-0.01,-0.11,-0.01,-2.47,-2.47,-200.517,-358.053,0.03,-1.3955,0.227,40960.2,-800741000.0,-0.3,0.0946,-200.517
9,AURA32,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,6599850.0,992383000.0,0.39,0.0,0.0
10,VALE3,61.75,50.93,1.75,21.28,0.0229,0.717,6.51,5.15,-1.99,5.7,4.56,0.4135,0.0247,1.82,0.1701,0.0343,1763570000.0,186959000000.0,0.54,0.1497,0.4135
11,CSNA3,14.61,-21.03,4.88,8.42,0.021099999999999997,0.369,5.69,4.78,-0.61,11.99,8.53,0.1763,-0.025,1.29,0.0952,-0.2321,163346000.0,4153210000.0,8.91,0.1278,0.1763
12,USIM3,10.2,-14.07,0.94,9.16,0.0039000000000000003,0.476,1.99,16.27,-5.82,21.0,9.19,0.0563,-0.0494,3.14,0.0338,-0.0669,1873660.0,13572200000.0,0.46,0.1439,0.0563
13,USIM5,9.74,-13.44,0.9,8.75,0.0045000000000000005,0.455,1.9,15.54,-5.56,20.27,8.87,0.0563,-0.0494,3.14,0.0338,-0.0669,169652000.0,13572200000.0,0.46,0.1439,0.0563
14,USIM6,9.36,-12.91,0.86,8.4,0.0046,0.437,1.82,14.93,-5.34,19.66,8.61,0.0563,-0.0494,3.14,0.0338,-0.0669,349.51,13572200000.0,0.46,0.1439,0.0563
15,PMAM3,11.43,-0.53,-2.49,1.11,0.0,0.129,-0.23,-2.33,-0.2,-15.12,-48.33,-0.0475,-0.2084,0.42,-0.0667,4.6879,2186020.0,-199495000.0,-14.98,0.0044,-0.0475
16,MGEL4,5.62,-0.36,-0.07,0.56,0.0,0.083,0.29,0.53,-0.05,11.86,9.12,0.1072,-0.1658,2.23,0.2117,0.1981,71280.7,-461467000.0,-1.65,0.0734,0.1072
17,PATI3,22.25,3.86,0.77,3.92,0.008100000000000001,0.345,0.72,8.14,1.51,8.53,7.15,0.0482,0.1017,2.6,0.084,0.2005,105234.0,525461000.0,0.75,0.1507,0.0482
18,PATI4,29.0,5.03,1.01,5.11,0.0483,0.45,0.93,10.61,1.97,11.0,9.22,0.0482,0.1017,2.6,0.084,0.2005,36323.1,525461000.0,0.75,0.1507,0.0482
19,FESA4,17.88,9.61,0.92,11.47,0.0436,0.538,4.39,10.23,-4.9,12.33,5.54,0.1121,0.1196,1.68,0.0596,0.0958,4058320.0,1715960000.0,0.35,0.0791,0.1121
20,TKNO4,39.08,10.15,0.63,7.44,0.0092,0.528,1.33,12.3,1.5,9.39,5.67,0.0604,0.0732,4.37,0.0534,0.0622,642.98,182419000.0,0.02,0.1039,0.0604
21,FESA3,26.05,14.0,1.34,16.71,0.027200000000000002,0.784,6.39,14.91,-7.14,17.01,7.64,0.1121,0.1196,1.68,0.0596,0.0958,4640.02,1715960000.0,0.35,0.0791,0.1121
22,GOAU3,7.86,25.81,0.77,2.28,0.0051,0.136,0.73,4.65,-0.81,12.49,5.67,0.0491,0.0246,2.15,0.0352,0.0297,822664.0,11138400000.0,1.88,-0.0035,0.0491
23,GOAU4,8.89,29.19,0.87,2.58,0.0045000000000000005,0.154,0.83,5.26,-0.92,13.1,5.95,0.0491,0.0246,2.15,0.0352,0.0297,122758000.0,11138400000.0,1.88,-0.0035,0.0491
24,GGBR3,16.3,30.56,0.93,7.49,0.0043,0.448,2.42,15.17,-2.65,22.99,10.46,0.0493,0.0248,2.14,0.0354,0.0305,2068340.0,30051600000.0,0.7,-0.0035,0.0493
25,GGBR4,19.54,36.64,1.12,8.98,0.0036,0.537,2.9,18.19,-3.18,26.0,11.84,0.0493,0.0248,2.14,0.0354,0.0305,270107000.0,30051600000.0,0.7,-0.0035,0.0493
26,BRKM3,23.28,-1.79,-5.49,3.73,0.036000000000000004,0.219,1.88,11.36,-0.32,29.66,8.85,0.0328,-0.218,1.46,0.028,3.0676,409662.0,-3380230000.0,-14.09,0.0192,0.0328
27,BRKM5,22.71,-1.75,-5.36,3.63,0.0369,0.214,1.83,11.08,-0.31,29.38,8.76,0.0328,-0.218,1.46,0.028,3.0676,62269300.0,-3380230000.0,-14.09,0.0192,0.0328
28,BRKM6,18.0,-1.38,-4.25,2.88,0.0337,0.17,1.45,8.78,-0.25,27.08,8.08,0.0328,-0.218,1.46,0.028,3.0676,304.84,-3380230000.0,-14.09,0.0192,0.0328
29,FHER3,2.92,0.29,-0.91,1.1,0.0,0.101,0.85,-1.94,-0.16,-3.41,-5.36,-0.0565,0.3767,1.35,-0.0647,-3.1092,420291.0,-173608000.0,-0.82,-0.2967,-0.0565
30,NUTR3,160.01,0.56,1.5,2.98,0.0,0.342,1.67,-34.71,-1.28,-48.52,-314.59,-0.0086,0.534,1.68,-0.0119,2.6891,154144.0,13630000.0,0.64,0.2168,-0.0086
31,CRPG5,20.85,5.98,1.0,11.77,0.0067,0.718,1.07,9.82,1.41,7.96,5.73,0.1198,0.1969,6.48,0.0885,0.1673,148226.0,605213000.0,0.01,0.1664,0.1198
32,CRPG6,21.55,6.18,1.03,12.16,0.006500000000000001,0.742,1.11,10.15,1.46,8.29,5.96,0.1198,0.1969,6.48,0.0885,0.1673,15353.7,605213000.0,0.01,0.1664,0.1198
33,CRPG3,24.1,6.91,1.16,13.6,0.0,0.83,1.24,11.35,1.63,9.49,6.83,0.1198,0.1969,6.48,0.0885,0.1673,3815.12,605213000.0,0.01,0.1664,0.1198
34,GPCP3,57.5,12.79,1.9,4.25,0.0053,0.417,7.02,6.86,-1.08,10.04,7.24,0.0619,0.035,1.19,0.0672,0.1488,1430360.0,189388000.0,1.09,0.2164,0.0619
35,ELEK3,19.11,24.46,2.66,6.19,0.0225,1.067,3.75,52.11,-110.34,65.77,26.15,0.0119,0.0253,1.94,0.0252,0.1087,270.93,226327000.0,0.99,0.0569,0.0119
36,ELEK4,26.0,33.27,3.62,8.42,0.0165,1.452,5.1,70.89,-150.12,84.56,33.61,0.0119,0.0253,1.94,0.0252,0.1087,60.47,226327000.0,0.99,0.0569,0.0119
37,UNIP5,29.51,82.12,2.01,9.2,0.0248,0.687,6.7,9.1,-2.39,9.11,5.58,0.1011,0.0132,1.38,0.1001,0.0245,18202.3,1401020000.0,0.54,0.3453,0.1011
38,UNIP6,29.9,83.2,2.04,9.32,0.0148,0.696,6.79,9.22,-2.42,9.23,5.66,0.1011,0.0132,1.38,0.1001,0.0245,5674020.0,1401020000.0,0.54,0.3453,0.1011
39,UNIP3,35.55,98.92,2.43,11.09,0.0113,0.827,8.07,10.96,-2.87,10.98,6.72,0.1011,0.0132,1.38,0.1001,0.0245,746167.0,1401020000.0,0.54,0.3453,0.1011
40,RANI4,7.39,-69.82,5.13,21.08,0.004,1.209,16.71,12.55,-2.73,17.04,9.61,0.1679,-0.0302,1.29,0.1094,-0.0735,127425.0,369771000.0,2.13,0.0498,0.1679
41,RANI3,4.69,-44.31,3.26,13.38,0.0063,0.767,10.6,7.97,-1.73,12.46,7.02,0.1679,-0.0302,1.29,0.1094,-0.0735,9312910.0,369771000.0,2.13,0.0498,0.1679
42,KLBN3,5.55,-10.99,11.04,28.67,0.0172,0.827,2.58,13.41,-1.59,22.47,10.82,0.2138,-0.2502,5.65,0.0881,-1.0049,1704050.0,2788350000.0,11.0,0.1522,0.2138
43,KLBN11,26.18,-10.37,10.42,27.05,0.0183,0.78,2.43,12.65,-1.5,21.71,10.45,0.2138,-0.2502,5.65,0.0881,-1.0049,137529000.0,2788350000.0,11.0,0.1522,0.2138
44,KLBN4,5.16,-10.22,10.27,26.66,0.018500000000000003,0.769,2.4,12.47,-1.48,21.53,10.36,0.2138,-0.2502,5.65,0.0881,-1.0049,7463830.0,2788350000.0,11.0,0.1522,0.2138
45,MSPA3,49.5,-7.45,0.36,26.28,0.0,0.222,4.59,-8.98,-0.71,-9.68,-16.97,-0.2927,-0.3529,2.74,-0.0256,-0.049,115.12,869463000.0,0.07,-0.2565,-0.2927
46,MSPA4,48.8,-7.34,0.36,25.91,0.0,0.219,4.53,-8.85,-0.7,-9.55,-16.74,-0.2927,-0.3529,2.74,-0.0256,-0.049,924.61,869463000.0,0.07,-0.2565,-0.2927
47,SUZB3,51.76,-3.96,28.28,24.61,0.0,0.649,8.84,14.27,-0.84,28.08,12.8,0.1724,-0.6203,1.57,0.0526,-7.1328,308555000.0,2491440000.0,32.36,0.3046,0.1724
48,EUCA4,6.4,7.13,0.42,3.85,0.0,0.236,-142.32,3.6,-1.54,6.43,6.43,0.1069,0.0467,0.99,0.0701,0.0596,494455.0,1395980000.0,0.35,0.0758,0.1069
49,EUCA3,23.8,26.51,1.58,14.33,0.0,0.878,-529.25,13.4,-5.72,16.22,16.22,0.1069,0.0467,0.99,0.0701,0.0596,196086.0,1395980000.0,0.35,0.0758,0.1069
50,DTEX3,16.3,33.09,2.39,22.54,0.0229,1.028,6.5,33.76,-4.93,40.28,13.27,0.0668,0.0681,1.78,0.0382,0.0722,49811700.0,4721980000.0,0.8,0.0777,0.0668
51,MTIG4,43.11,0.94,0.34,0.75,0.0,0.082,-0.26,-2.33,-0.18,-16.57,517.86,-0.0324,0.0803,0.48,-0.0405,0.3581,1128.66,30881600.0,2.07,0.0097,-0.0324
52,RCSL4,1.46,-34.67,-1.62,57.05,0.0,2.916,-9.22,370.24,-1.2,368.39,141.04,0.0154,-0.165,0.54,0.0082,0.0467,9970420.0,-68396000.0,0.0,1.8553,0.0154
53,TUPY3,17.06,-16.26,1.04,5.84,0.0,0.407,1.44,10.4,-4.57,15.55,6.37,0.0561,-0.0359,2.2,0.0535,-0.0638,16554700.0,2370790000.0,1.05,0.0901,0.0561
54,MYPK3,11.96,-10.26,0.49,2.22,0.0555,0.155,2.39,34.03,-0.53,101.32,10.44,0.0065,-0.0134,1.21,0.0056,-0.0476,30313200.0,3762400000.0,1.34,0.0707,0.0065
55,MWET3,64.14,-3.39,-0.61,7.58,0.0,0.755,-1.04,-11.25,-0.38,-17.43,-28.2,-0.0674,-0.2236,0.25,-0.0821,0.1807,95717.6,-215261000.0,-0.35,0.0836,-0.0674
56,EMBR3,7.31,-1.31,0.34,4.82,0.0,0.096,0.31,30.97,-0.78,87.38,9.7,0.0156,-0.3661,2.07,0.0042,-0.2625,99616000.0,15779800000.0,1.32,-0.1573,0.0156
57,MWET4,6.91,-0.37,-0.07,0.82,0.0,0.081,-0.11,-1.21,-0.04,-7.4,-11.97,-0.0674,-0.2236,0.25,-0.0821,0.1807,849483.0,-215261000.0,-0.35,0.0836,-0.0674
58,PLAS3,4.7,1.84,-0.43,1.61,0.0,0.101,-0.47,-1.05,-0.1,-3.68,12.98,-0.1535,0.0875,0.45,-0.105,-0.2329,25706.3,-136260000.0,-1.23,-0.0144,-0.1535
59,RSUL4,145.93,4.76,14.52,5.25,0.0,0.434,-1.65,3.71,-0.66,3.81,3.09,0.1415,0.1104,0.54,0.1216,3.0514,2787.42,5859000.0,0.72,0.1214,0.1415
60,RAPT3,9.0,16.41,1.78,6.54,0.028999999999999998,0.451,1.22,7.67,-7.66,10.5,7.39,0.0853,0.0477,2.52,0.0938,0.1087,99921.8,1744560000.0,1.91,0.1618,0.0853
61,LEVE3,17.26,18.85,1.7,10.18,0.037000000000000005,0.858,4.1,8.41,21.37,9.11,6.58,0.121,0.0527,1.63,0.1328,0.0903,9035560.0,1300220000.0,0.49,-0.0012,0.121
62,RAPT4,11.21,20.44,2.22,8.15,0.0233,0.561,1.52,9.55,-9.54,12.38,8.72,0.0853,0.0477,2.52,0.0938,0.1087,34452000.0,1744560000.0,1.91,0.1618,0.0853
